,SparkID,Полное наименование,Краткое наименование,Наименование на англ.,ИНН,КПП,ОГРН,Дата регистрации,Генеральный директор,Юридический адрес,Сайт,EMAIL,Телефоны,ОКВЭД_Код,ОКВЭД_Наименование,"тип МСП: 1-ЮЛ, 2-ИП",категория МСП,ПП
5024,9287281.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАДОГОЩЬ""","ООО ""РАДОГОЩЬ""","OOO ""RADOGOSHCH""",7723906463,772301001.0,1147746442909.0,2014-04-21,КУЗЬМИН ОЛЕГ ВАЛЕРЬЕВИЧ,"ГОРОД МОСКВА, ПРОСПЕКТ ВОЛГОГРАДСКИЙ, ДОМ 32, КОРПУС 25, ОФИС 10",,,+7 (926) 729 24 79;,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1.0,1.0,нет
5048,8303645.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНР ГРУПП""","ООО ""ИНР ГРУПП""","OOO ""INR GRUPP""",7716711520,771601001.0,1127746183454.0,2012-03-16,Орлов Олег Павлович,"129128, г. Москва, ул. Малахитовая, д. ВЛД27 стр.1",,,,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1.0,1.0,нет
5079,9990567.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВЫЕ МАСТЕРСКИЕ""","ООО ""НОВЫЕ МАСТЕРСКИЕ""","OOO ""NOVYE MASTERSKIE""",7720308761,772001001.0,1157746622087.0,2015-07-09,Слепнёв Павел Сергеевич,"111024, г. Москва, ул. Энтузиастов 2-Я, д. 5 корп. 1 ком.Н 9",,,+7 (985) 444 24 94;,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1.0,1.0,нет
6090,11579588.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛВА""","ООО ""АЛВА""","OOO ""ALVA""",7731376876,773101001.0,1177746729500.0,,Садоев Давид Михайлович,"г. Москва, ул. Осенняя, д. 23 пом. I ком. 16",,,,16.10.2,"Производство пиломатериалов, профилированных по кромке; производство древесного полотна, древесной муки; производство технологической щепы или стружки",1.0,1.0,нет
6192,8515874.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДААРИЯ""","ООО ""ДААРИЯ""","OOO ""DAARIYA""",7718897260,771801001.0,1127746618504.0,2012-08-10,Георгица Дмитрий Михайлович,"107150, г. Москва, ул. Бойцовая, д. 22",interior-home.ru,,+7 (925) 922 07 97;,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1.0,1.0,нет
6261,7445475.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВА""","ООО ""АВА""",AVA COMPANY LIMITED,7718803624,771801001.0,1107746309516.0,2010-04-21,Арестов Артем Васильевич,"107076, г. Москва, ул. Краснобогатырская, д. 90 стр.1",suntara.ru,,+7 (985) 066 96 56;,16.29.1,Производство прочих деревянных изделий,1.0,1.0,нет
6414,8843039.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЕЙС СТАЙЛ ПЛЮС""","ООО ""КЕЙС СТАЙЛ ПЛЮС""","OOO ""KEIS STAIL PLYUS""",7724874327,772401001.0,1137746376888.0,2013-04-25,Шевко Илья Игоревич,"115516, г. Москва, ул. Бехтерева, д. 31 корп. 3 кв. 236",i5z.ru,,,16.24,Производство деревянной тары,1.0,1.0,нет
6424,7275712.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКОРУСДОМСТРОЙ""","ООО ""ЭРДСТРОЙ""","OOO ""ERDSTROI""",7743765242,774301001.0,1097746828904.0,2009-12-23,Донич Александр Владимирович,"125212, г. Москва, бульвар Кронштадтский, д. 7А стр.1",,,,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1.0,1.0,нет
6430,6166648.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИЗУАЛЬНЫЕ КОММУНИКАЦИИ""","ООО ""ВИЗУАЛЬНЫЕ КОММУНИКАЦИИ""","OOO ""VIZUALNYE KOMMUNIKATSII""",7724639242,772401001.0,1077762364558.0,2007-11-12,Швыдкий Виктор Анатольевич,"117105, г. Москва, проезд Нагатинский 1-Й, д. 4 кв. 406",,,+7 (495) 797 10 07; +7 (916) 797 10 07;,16.29.14,"Производство деревянных рам для картин, фотографий, зеркал или аналогичных предметов и прочих изделий из дерева",1.0,1.0,нет
6560,8514351.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОСХОД""","ООО ""ВОСХОД""","OOO ""VOSKHOD""",7715931515,771501001.0,1127746619351.0,2012-08-10,Солонникова Наталья Михайловна,"127224, г. Москва, ул. Широкая, д. 13 корп. 1",,,+7 (916) 669 18 66; +7 (909) 661 60 22;,16.10.2,"Производство пиломатериалов, профилированных по кромке; производство древесного полотна, древесной муки; производство технологической щепы или стружки",1.0,1.0,нет
6591,9777861.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПЛЕКТ САУНА""","ООО ""КОМПЛЕКТ САУНА""","OOO ""KOMPLEKT SAUNA""",7751001949,775101001.0,1157746131828.0,2015-02-26,Сагутдинов Фарид Расихович,"142131, г. Москва, Рязановское поселение, пос. Фабрики Им 1 Мая, д. 24 стр. 11",,,,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1.0,1.0,нет
6597,9767177.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК МАСТЕРПОЛ""","ООО ""СК МАСТЕРПОЛ""","OOO ""SK MASTERPOL""",7720293219,772001001.0,1157746149538.0,2015-02-28,Подлесных Павел Александрович,"111398, г. Москва, ул. Кусковская, д. 16 пом. I;ком. 2",,,,16.23.1,Производство деревянных строительных конструкций и столярных изделий,1.0,1.0,нет
7257,9193529.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЮДЕР-ОКНА""","ООО ""АЛЮДЕР-ОКНА""","OOO ""ALYUDER-OKNA""",7718968143,771801001.0,1147746130311.0,2014-02-14,Волков Борис Юрьевич,"107076, г. Москва, пер. Колодезный, д. 3 стр. 25",,,,16.23.1,Производство деревянных строительных конструкций и столярных изделий,1.0,1.0,нет
7394,9669174.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙ ТЕХ""","ООО ""СТРОЙ ТЕХ""","OOO ""STROI TEKH""",7718312880,771801001.0,5147746474805.0,2014-12-08,Коновалов Максим Владимирович,"107113, г. Москва, пл. Сокольническая, д. 4А этаж 2 пом. III ком.34",,,+7 (965) 187 55 39;,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1.0,1.0,нет
7427,9736182.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОСТРОМА-РУСЛЕС""","ООО ""КОСТРОМА-РУСЛЕС""","OOO ""KOSTROMA-RUSLES""",7714327491,771401001.0,1157746069117.0,2015-02-02,Макаров Александр Максимович,"125167, г. Москва, пер. Эльдорадовский, д. 4 офис 1",,,,16.10,Распиловка и строгание древесины,1.0,1.0,нет
